,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Aggregate,,,,,,,,,,,,,Auto,,,,,,,,,Switch/Scale,,,,,,,,Vault,,,,,,,,,,Endgame,,,,,,,,Miscellaneous,,,,,,,Awards,,,,,,,,,,,,,,,,,,,
team Number,nickname,home Championship,event,Week,winning Margin Elo,total Points,winning Margin,ranking Points,auto Points,teleop Excluding Endgame Points,endgame Points,auto Elo Points,scale Elo Points,switch and Scale Elo Points,win,opponent Switch Deactivated Seconds,placeholder,auto Run Points,auto Run Rate,auto Switch Ownership Seconds,auto Switch At Zero,auto Scale Ownership Seconds,auto Scale Ownership Margin,auto Ownership Points,auto Ownership Points Margin,auto Quest Ranking Point,teleop Switch Ownership Seconds,teleop Switch Force Seconds,teleop Switch Boost Seconds,teleop Scale Ownership Seconds,teleop Scale Force Seconds,teleop Scale Boost Seconds,teleop Ownership Points,teleop Ownership Points Margin,vault Force Played,vault Force Total,average Force Efficiency,vault Levitate Played,vault Levitate Total,average Levitate Efficiency,vault Boost Played,vault Boost Total,average Boost Efficiency,vault Points,parking Points,climbing Points,levitate Points,climb Rate,adjusted Levitate Rate,adjusted Climb Or Levitate Rate,adjusted Individual Endgame Points,face The Boss Ranking Point,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,tba Ranking Points Earned,Chairman's Strength (mCA),,,,,,,,,,,,,,,,,,,
25,Raider Robotix,Detroit,MAR District Hatboro-Horsham Event,5,1803,162.01,101.65,1.43,14.96,115.49,20.27,-1.00,-1.00,-1.00,0.39,35.30,-1.00,5.54,1.00,5.16,0.45,-0.46,-1.21,9.41,8.86,0.50,47.28,2.52,3.65,42.07,3.26,4.73,97.72,84.73,1.00,1.03,0.27,1.19,1.14,0.37,1.51,1.38,0.15,17.76,1.08,6.98,12.21,0.05,0.65,0.70,22.11,0.20,-0.11,0.68,0.08,0.31,1.40,11.29,-1.00,3022,,,,,,,,,,,,,,,,,,,
25,Raider Robotix,Detroit,MAR District Montgomery Event,4,1788,184.55,116.44,1.59,19.38,127.84,24.91,-1.00,-1.00,-1.00,0.29,14.90,-1.00,5.45,1.00,4.53,0.50,2.43,2.39,13.93,11.73,0.52,43.45,0.55,4.18,54.82,2.06,5.85,108.30,83.96,0.57,1.06,0.11,1.22,1.20,0.35,1.63,1.65,0.03,19.54,1.78,10.94,12.18,0.17,0.33,0.50,16.39,0.10,-0.45,0.19,0.09,0.46,-0.10,12.42,-1.00,2702,,,,,,,,,,,,,,,,,,,
25,Raider Robotix,Detroit,MAR District Mount Olive Event,2,1779,197.49,151.91,1.87,19.69,167.67,13.82,-1.00,-1.00,-1.00,0.40,17.35,-1.00,5.42,1.00,6.16,0.69,0.98,0.99,14.27,9.99,0.53,64.38,-0.03,4.68,72.93,3.05,5.79,147.78,148.16,0.63,0.73,0.32,1.15,1.23,0.33,1.82,2.02,0.07,19.90,2.74,-0.45,11.53,0.00,0.33,0.33,11.67,-0.01,0.83,0.60,0.76,-0.27,23.03,-3.71,-1.00,2624,,,,,,,,,,,,,,,,,,,
27,Team RUSH,Detroit,FIM District Livonia Event,5,1755,187.36,136.15,1.78,18.34,129.21,29.70,-1.00,-1.00,-1.00,0.29,22.29,-1.00,4.75,1.00,5.44,0.51,1.35,0.76,13.58,13.76,0.41,51.94,-0.21,1.34,64.29,0.59,2.65,120.23,112.98,0.08,0.12,0.26,0.96,0.88,0.37,0.81,0.80,0.17,8.98,-0.89,20.95,9.64,0.72,0.08,0.81,24.44,0.30,0.07,-0.17,0.15,0.44,4.19,10.11,-1.00,-99110,,,,,,,,,,,,,,,,,,,
27,Team RUSH,Detroit,FIM District Milford Event,3,1666,158.64,68.28,1.43,17.17,96.80,36.77,-1.00,-1.00,-1.00,0.37,-0.83,-1.00,6.03,1.00,4.78,0.58,0.79,0.44,11.14,5.17,0.65,49.00,2.59,1.50,35.58,1.47,1.09,87.18,34.01,0.54,0.66,0.28,0.75,0.91,0.33,0.38,0.36,0.32,9.63,-1.71,30.93,7.54,0.79,0.10,0.88,27.14,0.36,0.55,1.50,-0.14,0.02,-0.70,7.87,-1.00,-99430,,,,,,,,,,,,,,,,,,,
27,Team RUSH,Detroit,Central New York Regional,1,1640,118.92,37.06,0.58,14.56,79.80,19.68,-1.00,-1.00,-1.00,0.41,0.91,-1.00,4.82,0.93,2.85,0.23,2.02,2.57,9.74,2.31,0.11,33.12,-1.15,1.31,36.13,0.87,-0.04,70.52,26.04,0.18,0.63,0.12,0.99,1.17,0.28,0.07,0.06,0.37,9.28,1.88,7.90,9.90,0.43,0.20,0.63,20.71,-0.05,0.16,0.10,-0.17,0.17,-3.47,4.88,-1.00,-99510,,,,,,,,,,,,,,,,,,,
28,Pierson Whalers,Detroit,SBPLI Long Island Regional #1,6,1507,102.63,26.99,0.56,12.24,61.31,19.96,-1.00,-1.00,-1.00,0.28,16.53,-1.00,5.26,0.93,2.62,0.26,0.87,0.25,6.97,6.04,0.28,31.77,4.76,0.37,9.49,1.44,1.46,43.08,-12.73,0.95,1.04,0.28,1.53,1.40,0.41,1.17,1.19,-0.13,18.22,1.86,2.84,15.26,0.14,0.31,0.45,16.07,-0.01,-0.07,0.92,-0.04,0.18,-1.22,9.12,-1.00,838,,,,,,,,,,,,,,,,,,,
31,Prime Movers,Houston,Oklahoma Regional ,5,1466,87.12,38.14,0.41,1.82,80.20,13.06,-1.00,-1.00,-1.00,0.39,19.75,-1.00,3.00,0.80,-1.05,-0.08,0.46,0.45,-1.18,-2.34,-0.21,51.89,-0.89,0.78,23.16,0.66,-0.43,75.39,34.89,0.15,0.06,0.35,0.87,0.94,0.38,0.04,-0.04,0.27,4.81,4.14,0.17,8.75,0.10,0.32,0.42,15.50,-0.02,-0.33,-0.17,-0.47,-0.29,-13.29,-7.96,-1.00,1504,,,,,,,,,,,,,,,,,,,
31,Prime Movers,Houston,Arkansas Rock City Regional,2,1448,76.41,0.37,0.18,2.04,65.35,2.51,-1.00,-1.00,-1.00,0.24,16.84,-1.00,4.04,0.80,-0.92,-0.02,-0.08,0.00,-2.00,-5.29,-0.04,49.05,-0.97,1.66,9.40,-0.27,0.88,60.99,19.99,0.00,0.20,0.13,0.08,0.14,0.35,0.67,0.53,0.31,4.36,2.10,-0.40,0.82,0.00,0.18,0.18,7.50,-0.02,2.48,0.37,0.00,0.19,12.32,6.50,-1.00,772,,,,,,,,,,,,,,,,,,,
33,Killer Bees,Detroit,ONT District Windsor Essex Great Lakes Event,5,1837,189.60,142.96,1.72,18.61,136.56,31.21,-1.00,-1.00,-1.00,0.44,31.24,-1.00,6.41,1.00,5.43,0.64,0.67,-0.71,12.20,10.99,0.71,48.57,-0.42,4.65,58.26,0.72,4.86,116.34,107.16,0.28,0.88,0.03,1.60,1.44,0.43,1.53,1.73,0.12,20.22,1.04,14.16,16.01,0.61,0.17,0.78,24.44,0.06,-0.06,-0.27,0.16,0.18,3.66,3.21,-1.00,-73755,,,,,,,,,,,,,,,,,,,
33,Killer Bees,Detroit,FIM District Milford Event,3,1771,170.97,122.98,1.76,9.85,132.35,29.42,-1.00,-1.00,-1.00,0.39,22.49,-1.00,6.05,1.00,2.51,0.26,-0.61,-0.56,3.81,-0.52,0.34,51.02,1.68,1.67,58.07,1.65,4.89,115.64,110.65,0.63,0.68,0.19,1.21,1.37,0.32,1.13,1.29,0.13,16.70,0.13,17.14,12.15,0.50,0.14,0.64,20.28,0.15,-0.41,0.58,0.60,-0.14,12.85,-0.69,-1.00,-73829,,,,,,,,,,,,,,,,,,,
33,Killer Bees,Detroit,FIM District Southfield Event,1,1767,161.97,121.90,1.28,13.02,122.32,24.48,-1.00,-1.00,-1.00,0.14,29.98,-1.00,4.09,0.89,4.47,0.58,-0.01,0.00,8.93,10.02,0.38,60.45,1.61,1.38,46.34,2.60,0.37,108.53,89.93,0.64,0.87,0.29,0.61,1.09,0.13,0.44,0.80,0.10,13.79,0.64,17.74,6.11,0.56,0.09,0.65,20.83,0.12,0.10,1.02,0.09,-0.12,2.66,2.16,-1.00,-74069,,,,,,,,,,,,,,,,,,,
34,Rockets,Houston,Rocket City Regional,3,1461,94.75,-27.79,0.33,5.98,65.92,19.97,-1.00,-1.00,-1.00,0.44,-5.62,-1.00,3.52,0.77,1.47,0.08,-0.23,-0.03,2.46,0.82,0.14,30.93,0.74,4.26,10.99,2.21,1.77,47.95,-24.37,0.74,0.98,0.05,1.62,1.49,0.41,0.82,1.12,0.08,17.97,1.89,1.91,16.17,0.00,0.37,0.37,13.08,-0.01,0.60,-0.50,0.29,0.22,10.30,2.87,-1.00,1137,,,,,,,,,,,,,,,,,,,
34,Rockets,Houston,Arkansas Rock City Regional,2,1502,72.52,-42.07,0.21,3.60,51.54,10.34,-1.00,-1.00,-1.00,0.07,1.92,-1.00,2.84,0.60,0.27,-0.02,0.11,0.15,0.76,-2.43,0.13,46.93,0.93,-0.18,5.24,-0.60,-1.27,50.72,-17.07,-0.12,-0.09,0.38,-0.03,0.59,-0.13,-0.19,-0.33,0.39,0.83,3.86,6.79,-0.32,0.00,0.20,0.20,9.00,-0.04,0.47,-0.28,0.80,0.34,22.41,7.03,-1.00,363,,,,,,,,,,,,,,,,,,,
41,RoboWarriors,Detroit,FIRST Mid-Atlantic District Championship,6,1557,128.63,9.49,0.79,11.00,88.82,24.55,-1.00,-1.00,-1.00,0.35,-8.14,-1.00,4.96,1.00,2.18,0.24,0.83,0.10,6.03,4.08,0.28,46.11,1.91,1.19,26.41,1.85,2.08,75.79,-4.19,0.69,0.65,0.29,1.42,1.35,0.37,0.77,0.60,0.17,13.04,1.84,8.45,14.26,0.00,0.58,0.58,18.75,0.14,-0.39,0.25,0.03,0.12,-1.20,4.35,-1.00,,,,,,,,,,,,,,,,,,,,
41,RoboWarriors,Detroit,MAR District Montgomery Event,4,1532,121.97,19.11,0.97,10.66,87.73,17.28,-1.00,-1.00,-1.00,0.39,20.57,-1.00,5.98,1.00,3.10,0.37,-0.76,-1.71,4.68,2.13,0.45,51.42,0.56,3.84,18.09,1.84,1.73,75.09,23.97,0.46,0.69,0.29,0.83,0.74,0.37,1.02,1.10,0.20,12.65,2.90,6.17,8.22,0.07,0.33,0.40,15.00,0.04,-0.22,0.54,0.03,0.14,-0.36,6.27,-1.00,985,,,,,,,,,,,,,,,,,,,
