event_year,event_name,team_number,team_match_id,team_match_seq,auto_scale_cube,auto_exchange_cube,auto_switch_cube,home_switch_cube,opp_switch_cube,scale_cube,exchange_cube,climb,assist,piggyback_climb_boolean
2018,"Carver Division",2556,9658,17,0,0,0,0,0,5,0,0,0,0
2018,"Carver Division",6988,9659,9,0,0,0,1,3,0,0,0,0,0
2018,"Carver Division",2811,9660,9,0,0,0,0,0,0,1,0,0,0
2018,"Carver Division",6846,9661,9,0,0,0,1,0,0,0,0,0,0
2018,"Carver Division",744,9662,9,2,0,0,0,0,3,1,0,0,0
2018,"Carver Division",5829,9665,1,0,0,0,0,0,0,1,0,0,0
2018,"Carver Division",1414,9666,1,0,0,0,0,0,6,0,0,0,0
2018,"Carver Division",2152,9667,9,0,0,0,1,0,1,0,0,0,0
2018,"Carver Division",3132,9668,9,0,0,1,0,0,0,2,0,0,0
2018,"Carver Division",175,9670,10,0,0,1,0,0,3,0,0,0,0
2018,"Carver Division",932,9672,19,0,0,0,2,0,0,1,0,0,0
2018,"Carver Division",3753,9674,10,0,0,0,0,0,2,0,0,0,0
2018,"Carver Division",1690,9675,19,1,0,1,2,0,3,0,0,0,0
2018,"Carver Division",5006,9676,19,0,0,1,1,2,0,0,0,0,0
2018,"Carver Division",1477,9677,1,0,0,0,0,2,5,0,0,0,0
2018,"Carver Division",418,9678,10,0,0,1,1,0,4,0,0,0,0
2018,"Carver Division",341,9679,10,1,0,0,2,0,1,0,0,0,0
2018,"Carver Division",2723,9680,10,0,0,0,3,0,0,3,0,0,0
2018,"Carver Division",6832,9681,10,0,0,0,0,1,0,0,0,0,0
2018,"Carver Division",5458,9682,11,0,0,1,4,0,0,5,0,0,0
2018,"Carver Division",5458,9683,2,0,0,1,1,5,0,2,0,0,0
2018,"Carver Division",341,9685,2,0,0,0,0,1,4,0,0,0,0
2018,"Carver Division",4501,9686,3,0,0,1,0,6,0,0,0,0,0
2018,"Carver Division",1410,9687,2,0,0,0,0,0,0,5,0,0,0
2018,"Carver Division",4944,9689,2,0,0,1,0,9,0,0,0,0,0
2018,"Carver Division",6838,9690,2,0,0,0,0,0,0,3,0,0,0
2018,"Carver Division",1378,9691,1,0,0,0,1,0,0,0,0,0,0
2018,"Carver Division",2429,9692,2,0,0,0,0,0,1,1,0,0,0
2018,"Carver Division",1466,9696,3,0,0,0,0,2,0,2,0,0,0
2018,"Carver Division",2429,9697,3,0,0,1,3,0,0,0,0,0,0
2018,"Carver Division",3238,9698,5,0,0,0,2,0,0,6,0,0,0
2018,"Carver Division",744,9699,3,0,0,0,1,2,2,2,0,0,0
2018,"Carver Division",4944,9702,1,0,0,1,0,5,0,7,0,0,0
2018,"Carver Division",6846,9703,3,0,0,0,0,0,0,5,0,0,0
2018,"Carver Division",4501,9704,6,0,0,1,0,2,0,0,0,0,0
2018,"Carver Division",100,9707,3,0,0,0,0,0,2,0,0,0,0
2018,"Carver Division",4944,9709,4,0,0,1,2,7,0,2,0,0,0
2018,"Carver Division",7123,9710,4,0,0,0,2,0,0,2,0,0,0
2018,"Carver Division",4171,9711,4,0,0,0,0,0,0,7,0,0,0
2018,"Carver Division",6413,9712,4,0,0,1,3,0,0,2,0,0,0
2018,"Carver Division",1622,9713,1,0,0,0,1,0,1,5,0,0,0
2018,"Carver Division",3834,9714,4,0,0,1,1,0,0,3,0,0,0
2018,"Carver Division",801,9715,4,0,0,0,0,2,1,0,0,0,0
2018,"Carver Division",3229,9716,4,0,0,0,2,0,0,3,0,0,1
2018,"Carver Division",5499,9717,4,0,0,1,1,5,1,0,0,0,0
2018,"Carver Division",4306,9718,4,0,0,0,3,0,0,6,0,0,0
2018,"Carver Division",2928,9719,4,0,0,0,0,0,4,0,0,0,0
2018,"Carver Division",6988,9721,5,0,0,0,2,0,0,7,0,0,0
2018,"Carver Division",1622,9722,5,0,0,0,0,0,5,0,0,0,0
2018,"Carver Division",4171,9723,5,0,0,0,1,0,0,5,0,0,0
2018,"Carver Division",4013,9724,1,0,0,0,0,2,0,0,0,0,0
2018,"Carver Division",1477,9726,5,0,0,0,5,0,3,2,0,0,0
2018,"Carver Division",1378,9727,5,0,0,0,0,3,0,0,0,0,0
2018,"Carver Division",5987,9728,5,1,0,1,1,0,0,6,0,0,0
2018,"Carver Division",2415,9729,5,0,0,1,2,0,1,1,0,0,0
2018,"Carver Division",100,9730,5,0,0,1,0,1,2,0,0,0,0
2018,"Carver Division",6985,9731,5,0,0,0,1,1,0,2,0,0,0
2018,"Carver Division",2429,9735,1,0,0,0,1,0,1,0,0,0,0
2018,"Carver Division",3238,9736,11,0,0,2,0,0,8,2,0,0,0
2018,"Carver Division",4795,9737,6,1,0,0,0,2,0,0,0,0,0
2018,"Carver Division",3145,9738,6,0,0,1,0,1,2,1,0,0,0
2018,"Carver Division",6502,9740,12,0,0,1,3,0,0,8,0,0,0
2018,"Carver Division",5803,9741,6,0,0,1,4,0,5,0,0,0,0
2018,"Carver Division",1369,9742,6,1,0,0,0,4,6,0,0,0,0
2018,"Carver Division",4306,9743,6,0,0,0,2,0,0,6,0,0,0
2018,"Carver Division",4265,9744,6,3,0,0,4,0,1,0,0,0,0
2018,"Carver Division",4499,9745,7,0,0,2,2,0,0,8,0,0,0
2018,"Carver Division",6846,9746,1,0,0,0,1,1,0,0,0,0,0
2018,"Carver Division",6902,9747,7,0,0,0,1,0,0,0,0,0,0
2018,"Carver Division",7111,9748,7,0,0,0,0,4,0,0,0,0,0
2018,"Carver Division",2910,9749,7,1,0,0,2,2,5,0,0,0,0
2018,"Carver Division",4911,9750,14,0,0,1,0,0,5,0,0,0,0
2018,"Carver Division",6413,9751,7,0,0,0,1,1,0,0,0,0,0
2018,"Carver Division",2152,9753,7,0,0,1,0,2,3,2,0,0,0
2018,"Carver Division",5987,9755,7,2,0,0,1,5,4,0,0,0,0
2018,"Carver Division",6846,9756,7,0,0,0,2,0,0,0,0,0,0
2018,"Carver Division",1410,9757,1,0,0,0,1,0,0,9,0,0,0
2018,"Carver Division",343,9758,8,0,0,1,1,2,2,0,0,0,0
2018,"Carver Division",2811,9759,8,0,0,1,3,0,0,7,0,0,0
2018,"Carver Division",3991,9760,8,0,0,0,0,8,0,6,0,0,0
2018,"Carver Division",5987,9761,8,2,0,0,0,0,7,0,0,0,0
2018,"Carver Division",4192,9762,8,0,0,0,0,3,0,0,0,0,0
2018,"Carver Division",4501,9763,16,0,0,1,1,5,0,0,0,0,0
2018,"Carver Division",932,9764,15,0,0,0,2,0,0,4,0,0,1
2018,"Carver Division",6985,9765,8,0,0,0,0,0,0,4,0,0,0
2018,"Carver Division",5499,9766,8,0,0,1,0,6,0,0,0,0,0
2018,"Carver Division",1477,9767,8,1,0,0,0,0,5,0,0,0,0
2018,"Carver Division",7111,9768,1,0,0,0,1,0,0,0,0,0,0
2018,"Carver Division",4265,9769,8,0,0,0,0,0,2,3,0,0,0
2018,"Carver Division",6902,9770,9,0,0,0,4,0,0,0,0,0,0
2018,"Carver Division",5026,9772,9,0,0,0,0,2,4,0,0,0,0
2018,"Carver Division",6800,9774,9,0,0,0,1,0,7,1,0,0,0
2018,"Carver Division",1466,9775,9,0,0,1,0,0,0,9,0,0,0
2018,"Carver Division",7111,9777,9,0,0,0,0,4,0,0,0,0,1
2018,"Carver Division",4944,9778,9,0,0,1,2,0,0,9,0,0,0
2018,"Carver Division",2910,9779,1,2,0,0,4,0,4,0,0,0,0
2018,"Carver Division",1410,9781,9,0,0,0,1,0,0,9,0,0,0
2018,"Carver Division",6985,9782,9,0,0,0,1,0,0,1,0,0,0
2018,"Carver Division",744,9785,10,1,0,0,0,0,5,0,0,0,0
2018,"Carver Division",5987,9786,10,2,0,0,0,4,2,0,0,0,0
2018,"Carver Division",6838,9787,10,0,0,0,0,0,0,2,0,0,0
2018,"Carver Division",6846,9789,10,0,0,0,0,2,3,0,0,0,0
2018,"Carver Division",4306,9791,1,0,0,0,1,0,0,8,0,0,0
2018,"Carver Division",3991,9793,10,0,0,0,4,0,0,7,0,0,0
2018,"Carver Division",7301,9794,10,0,0,0,0,0,0,5,0,0,0
2018,"Carver Division",4306,9795,10,0,0,0,1,0,0,10,0,0,0
2018,"Carver Division",1369,9796,10,0,0,0,0,4,2,0,0,0,0
2018,"Carver Division",175,9799,2,0,0,2,2,0,8,0,0,0,0
2018,"Carver Division",1421,9800,2,0,0,1,1,0,0,3,0,0,0
2018,"Carver Division",6846,9802,2,0,0,0,0,0,0,5,0,0,0
2018,"Carver Division",5499,9803,2,0,0,0,2,4,0,0,0,0,0
2018,"Carver Division",2811,9806,2,0,0,1,0,1,3,4,0,0,0
2018,"Carver Division",4306,9807,2,0,0,0,2,0,0,8,0,0,0
2018,"Carver Division",2415,9808,2,0,0,0,1,2,0,2,0,0,0
2018,"Carver Division",932,9809,4,0,0,1,2,0,1,5,0,0,0
2018,"Carver Division",1769,9810,3,0,0,0,0,0,0,2,0,0,0
2018,"Carver Division",1378,9812,3,2,0,0,4,0,0,8,0,0,0
2018,"Carver Division",932,9814,5,0,0,0,1,0,0,5,0,0,0
2018,"Carver Division",3132,9815,3,0,0,0,1,0,1,0,0,0,0
2018,"Carver Division",175,9816,1,1,0,0,2,0,3,0,0,0,0
2018,"Carver Division",7111,9818,3,0,0,0,0,4,0,0,0,0,0
2018,"Carver Division",1690,9819,6,1,0,0,0,2,3,3,0,0,0
2018,"Carver Division",342,9820,3,0,0,0,0,0,3,0,0,0,0
2018,"Carver Division",2152,9821,3,0,0,1,1,0,3,7,0,0,0
2018,"Carver Division",1414,9822,4,1,0,0,1,0,3,0,0,0,0
2018,"Carver Division",2415,9823,4,0,0,0,0,5,0,0,0,0,0
2018,"Carver Division",4795,9826,4,0,0,0,0,0,0,8,0,0,0
2018,"Carver Division",6800,9829,4,0,0,1,0,0,2,3,0,0,0
2018,"Carver Division",6832,9830,4,0,0,0,0,4,0,0,0,0,0
2018,"Carver Division",343,9831,4,0,0,2,5,0,0,6,0,0,0
2018,"Carver Division",1378,9832,4,0,0,0,2,0,0,5,0,0,0
2018,"Carver Division",4501,9834,8,0,0,1,0,4,0,0,0,0,0
2018,"Carver Division",1410,9835,5,0,0,0,0,4,0,1,0,0,0
2018,"Carver Division",5499,9836,5,0,0,1,1,4,0,3,0,0,0
2018,"Carver Division",3991,9837,5,0,0,1,1,0,2,0,0,0,0
2018,"Carver Division",343,9838,1,0,0,0,1,0,0,0,0,0,0
2018,"Carver Division",1466,9840,5,0,0,0,2,0,1,5,0,0,0
2018,"Carver Division",4499,9841,5,0,0,2,0,5,0,0,0,0,0
2018,"Carver Division",7123,9842,5,0,0,0,0,0,0,9,0,0,0
2018,"Carver Division",3229,9843,5,1,0,0,0,0,0,4,0,0,0
2018,"Carver Division",4944,9845,5,0,0,2,0,4,0,3,0,0,0
2018,"Carver Division",2429,9847,6,1,0,0,0,2,1,0,0,0,0
2018,"Carver Division",4499,9848,6,0,0,2,0,6,0,0,0,0,0
2018,"Carver Division",744,9849,1,0,0,1,1,1,4,0,0,0,0
2018,"Carver Division",5987,9850,6,2,0,0,0,0,3,0,0,0,0
2018,"Carver Division",1622,9851,6,0,0,1,0,0,3,0,0,0,0
2018,"Carver Division",4944,9852,6,0,0,2,0,0,0,6,0,0,0
2018,"Carver Division",6846,9853,6,0,0,0,1,0,0,7,0,0,0
2018,"Carver Division",1466,9854,6,0,0,0,1,3,0,6,0,0,0
2018,"Carver Division",6985,9855,6,0,0,0,1,0,0,8,0,0,0
2018,"Carver Division",1477,9856,6,0,0,1,0,4,4,0,0,0,0
2018,"Carver Division",4013,9857,6,0,0,0,4,0,0,3,0,0,0
2018,"Carver Division",7123,9858,6,0,0,0,0,0,0,9,0,0,0
2018,"Carver Division",2723,9861,7,0,0,0,1,6,0,0,0,0,0
2018,"Carver Division",5499,9867,7,0,0,1,2,2,0,6,0,0,0
2018,"Carver Division",4499,9874,8,0,0,0,0,6,0,0,0,0,0
2018,"Carver Division",6988,9876,8,0,0,0,2,0,0,4,0,0,0
2018,"Carver Division",4944,9877,8,0,0,1,6,5,0,3,0,0,0
2018,"Carver Division",580,9878,8,0,0,0,1,0,0,9,0,0,0
2018,"Carver Division",5458,9879,8,0,0,1,0,8,0,0,0,1,1
2018,"Carver Division",7111,9880,8,0,0,0,0,1,0,0,0,0,0
2018,"Carver Division",3229,9883,8,0,0,1,0,0,0,3,0,1,1
2018,"Carver Division",4013,9884,8,0,0,0,0,0,0,0,0,0,0
2018,"Carver Division",1477,9887,9,2,0,0,1,2,1,0,0,1,0
2018,"Carver Division",4171,9888,9,0,0,0,0,0,0,3,0,0,0
2018,"Carver Division",5803,9889,9,1,0,0,0,0,2,0,0,0,0
2018,"Carver Division",5987,9892,9,0,0,1,0,0,3,0,0,0,0
2018,"Carver Division",2928,9893,1,0,0,0,0,0,0,2,0,0,0
2018,"Carver Division",4192,9894,1,0,0,1,0,0,4,6,0,0,0
2018,"Carver Division",4306,9895,9,0,0,1,2,2,0,0,0,0,0
2018,"Carver Division",108,9896,9,0,0,1,0,0,1,0,0,0,0
2018,"Carver Division",1378,9897,9,0,0,0,0,0,0,6,0,0,0
2018,"Carver Division",2556,9898,19,0,0,1,0,0,6,0,0,0,0
2018,"Carver Division",801,9899,10,0,0,0,0,0,2,0,0,0,0
2018,"Carver Division",5458,9900,10,0,0,1,1,0,0,9,0,1,0
2018,"Carver Division",1477,9901,10,2,0,0,0,3,2,0,0,0,0
2018,"Carver Division",2429,9903,11,0,0,1,1,0,0,0,0,0,0
2018,"Carver Division",4265,9904,10,1,0,0,0,0,5,0,0,1,0
2018,"Carver Division",4192,9906,10,0,0,1,2,0,0,6,0,0,0
2018,"Carver Division",1466,9907,10,0,0,1,0,2,0,0,0,0,0
2018,"Carver Division",6800,9910,11,0,0,1,0,0,1,8,0,0,0
2018,"Carver Division",1378,9911,2,0,0,0,3,0,0,5,0,0,0
2018,"Carver Division",100,9913,2,0,0,0,2,0,0,3,0,0,0
2018,"Carver Division",6985,9914,2,0,0,0,3,0,0,0,0,0,0
2018,"Carver Division",3753,9915,2,0,0,0,1,1,1,0,0,0,0
2018,"Carver Division",1477,9916,2,0,0,1,0,1,4,0,0,0,0
2018,"Carver Division",1369,9917,2,1,0,0,3,0,2,0,0,0,0
2018,"Carver Division",5987,9918,2,1,0,0,1,1,3,1,0,0,0
2018,"Carver Division",5805,9919,1,0,0,0,0,4,1,0,0,0,0
2018,"Carver Division",5006,9920,3,0,0,0,2,2,0,0,0,0,0
2018,"Carver Division",3834,9922,2,0,0,0,0,0,0,3,0,0,0
2018,"Carver Division",6502,9923,4,1,0,0,1,0,5,1,0,0,0
2018,"Carver Division",5458,9925,3,0,0,1,0,2,0,0,0,0,0
2018,"Carver Division",4013,9926,3,0,0,0,1,2,0,0,0,0,0
2018,"Carver Division",4944,9929,3,0,0,1,4,0,0,4,0,0,0
2018,"Carver Division",3991,9930,1,0,0,0,3,0,2,0,0,0,0
2018,"Carver Division",418,9934,3,0,0,2,0,0,0,9,0,0,0
2018,"Carver Division",4192,9935,3,0,0,1,0,1,4,0,0,0,0
2018,"Carver Division",2429,9936,4,0,0,0,2,0,0,0,0,0,0
2018,"Carver Division",5458,9937,4,0,0,0,6,0,0,4,0,0,0
2018,"Carver Division",932,9939,7,1,0,0,0,0,0,8,0,0,0
2018,"Carver Division",3238,9941,1,0,0,1,5,0,0,4,0,0,0
2018,"Carver Division",580,9942,4,0,0,0,1,0,0,8,0,0,0
2018,"Carver Division",5987,9943,4,1,0,0,0,0,4,0,0,0,0
2018,"Carver Division",744,9945,4,1,0,0,0,0,5,1,0,0,0
2018,"Carver Division",7111,9948,5,0,0,0,0,2,0,0,0,0,0
2018,"Carver Division",6800,9950,5,0,0,0,0,0,8,1,0,0,0
2018,"Carver Division",5803,9951,5,0,0,0,0,0,0,9,0,0,0
2018,"Carver Division",2152,9952,1,0,0,0,0,2,1,0,0,0,0
2018,"Carver Division",2928,9953,5,0,0,1,0,0,3,0,0,0,0
2018,"Carver Division",2723,9954,5,0,0,0,0,5,0,0,0,0,0
2018,"Carver Division",418,9957,5,0,0,0,0,0,7,2,0,0,0
2018,"Carver Division",6502,9958,10,0,0,1,1,0,2,3,0,0,0
2018,"Carver Division",744,9960,5,0,0,0,0,0,6,0,0,0,0
2018,"Carver Division",6988,9961,6,0,0,0,0,0,0,6,0,0,1
2018,"Carver Division",6902,9962,6,0,0,0,2,0,0,1,0,0,0
2018,"Carver Division",1410,9964,6,0,0,0,2,0,0,6,0,0,1
2018,"Carver Division",343,9965,6,0,0,2,2,0,0,7,0,0,0
2018,"Carver Division",7111,9966,6,0,0,0,1,0,0,0,0,0,0
2018,"Carver Division",108,9967,6,0,0,0,1,0,4,0,0,0,0
2018,"Carver Division",2152,9968,6,0,0,1,1,4,0,0,0,0,0
2018,"Carver Division",2811,9971,6,0,0,0,0,3,3,0,0,0,0
2018,"Carver Division",2415,9972,6,0,0,1,0,5,0,0,0,0,0
2018,"Carver Division",1466,9973,7,0,0,0,0,0,0,9,0,0,0
2018,"Carver Division",6988,9974,1,0,0,0,0,0,0,5,0,0,0
2018,"Carver Division",5805,9975,7,1,0,0,0,0,0,0,0,0,0
2018,"Carver Division",4944,9976,7,0,0,2,2,6,0,2,0,0,0
2018,"Carver Division",418,9977,7,0,0,2,3,0,3,0,0,0,0
2018,"Carver Division",1369,9978,7,0,0,0,0,0,4,0,0,0,0
2018,"Carver Division",7123,9979,7,0,0,0,0,0,0,8,0,0,0
2018,"Carver Division",5829,9980,7,0,0,0,0,3,0,0,0,0,0
2018,"Carver Division",6502,9982,14,0,0,1,2,0,1,0,0,0,0
2018,"Carver Division",4013,9983,7,0,0,0,1,2,0,0,0,0,0
2018,"Carver Division",5026,9984,7,0,0,1,0,0,4,0,0,0,1
2018,"Carver Division",7301,9985,1,0,0,0,0,1,0,0,0,0,0
2018,"Carver Division",1410,9986,7,0,0,1,2,0,0,8,0,0,0
2018,"Carver Division",6902,9987,8,0,0,0,2,0,0,0,0,0,0
2018,"Carver Division",1378,9989,8,0,0,0,3,0,0,4,0,0,0
2018,"Carver Division",6832,9990,8,0,0,0,0,3,0,0,0,0,0
