Team,Final Score,adjust Points,auto Ownership Points,auto Points,auto Quest Ranking Point,auto Run Points,auto Scale Ownership Sec,auto Switch At Zero,auto Switch Ownership Sec,endgame Points,face The Boss Ranking Point,foul Count,foul Points,rp,tech Foul Count,teleop Ownership Points,teleop Points,teleop Scale Boost Sec,teleop Scale Force Sec,teleop Scale Ownership Sec,teleop Switch Boost Sec,teleop Switch Force Sec,teleop Switch Ownership Sec,total Points,vault Boost Played,vault Boost Total,vault Force Played,vault Force Total,vault Levitate Played,vault Levitate Total,vault Points
1293,88.3431690899,0,1.2010712734,4.2981636352,-0.1185999173,3.0970923618,-0.7017912397,0.1620795964,1.3023268764,9.6855857693,-0.008942491,-0.2647449265,-4.3127279833,0.2315238252,0.7127174306,67.7823696824,88.333751241,0.9669479048,2.9368670925,19.4472337314,5.687223876,1.4045402236,41.6809641703,88.3431690899,1.0291051964,1.197930974,0.6944215135,0.6400005779,0.4167056801,0.3352276059,10.8657957892
1294,41.5705381209,0,-1.8899049229,3.0881219666,-0.0565120143,4.9780268895,-0.2002851956,-0.0720163823,-0.7446672659,12.9358134302,-0.0300821789,0.1585732151,13.6288554587,0.0054639067,0.6555602011,6.996785049,24.8415355297,-0.7968671333,-0.4949952379,-0.8340073387,-0.407328784,1.464486171,9.0349883049,41.5705381209,-0.0797236287,0.0205856833,0.0569511084,0.1187837402,0.865518466,0.8424179866,4.9089370504
1296,142.9753641034,0,3.8399519932,8.1697836944,0.2532333512,4.3298317012,0.6005578068,0.3091848158,1.3194181898,21.2431137969,0.0011803808,0.4560886779,12.483942124,0.9051140395,0.2212112838,83.0699289175,122.3192513547,2.0710921766,2.2799110237,44.6585211227,2.0280435485,3.3478726717,34.3122720697,142.9753641034,0.9889566238,1.274520216,0.9244734412,0.9033795199,1.5325329423,1.4233419921,18.0062086404
1303,42.252335476,0,-0.5552757441,4.1349093327,0.0674642731,4.6901850768,-0.9144269646,0.0904140028,0.6367890926,0.3797560945,-0.0775617847,0.4190226896,-1.6245923917,0.2524905071,-0.0775447142,34.4310587382,39.7258399296,0.5293593141,0.6872618011,20.7241856638,0.2763134339,1.4833377995,12.9012003264,42.252335476,0.3072627345,-0.0215400246,0.3613426241,0.3189939943,0.4243355933,0.6855510496,4.9150250969
1305,203.7798518402,0,9.0535478057,14.3608082124,0.2334813298,5.3072604067,1.2010875828,0.3165754205,3.3256863201,42.8880757355,0.1885133081,0.2532798584,-0.4875742104,1.6208364837,0.3671204737,132.2052951155,190.0311748077,3.8682912804,1.2931797927,71.564797254,2.6571330448,1.0628469301,54.1150735364,203.7798518402,1.1240969302,1.1007073446,0.4522867785,0.4468270493,1.6088027176,1.4400263974,14.9378039567
1306,98.1595621245,0,4.7401688555,10.0249968432,0.3628153262,5.2848279877,0.0420789882,0.3057272251,2.3280054395,15.180887504,0.0585855097,0.9066182479,7.7097966531,0.5880109448,-0.0128487694,57.875689783,80.4245426525,1.8084740168,0.1533691421,15.4778211967,1.8572217534,-0.4566024888,38.732172816,98.1595621245,0.5186514281,0.4151326847,0.173609959,0.2090317982,1.0225579248,0.8494285902,7.3679653656
1307,49.6689182624,0,0.9488493275,3.8993433725,-0.0729647422,2.950494045,-0.1205443161,0.0879125052,0.5949689799,6.3785981695,-0.0183982567,0.1060477683,-0.7666432806,0.0630016401,0.118572687,37.897687937,46.5390562894,-0.1424464158,-0.5152758949,5.2412804066,0.4592926075,-0.0321764895,32.3395613386,49.6689182624,-0.177017711,-0.1244095073,-0.0574972612,-0.0639622187,0.5560938325,0.6409257626,2.2627701829
1308,89.3149697713,0,3.5705113893,7.4382436037,0.2201499707,3.8677322144,0.0155014451,0.2307035148,1.7697542496,13.1682104763,0.0930633385,-0.3976075654,4.7003331072,0.793613842,-0.0486617977,58.6430298712,77.1728158468,0.8863189324,1.1526704156,22.1648743786,-1.1833337273,-0.4777336533,36.7751702875,89.3149697713,-0.0337911556,0.0073119654,0.1648088643,0.4629517752,-0.0530683206,0.6020513592,5.3615754993
1310,93.6754739052,0,7.2059476012,10.4712802849,0.0790548387,3.2653326837,0.5209063637,0.2067115921,3.0820674369,9.0039540255,-0.0297271046,0.512430141,13.2772163043,0.5608522725,0.5555888599,53.6493112421,70.0018757612,1.2873661164,0.7535312344,11.8406981356,1.9902099371,-1.2007118931,38.531037053,93.6754739052,0.4879351493,0.5133755473,0.0011796008,0.0577818549,0.8575253874,0.8985646965,7.3486104936
1311,93.763761584,0,0.2412816308,3.3203783989,0.0637347486,3.0790967681,0.0575931577,-0.0313143522,0.0630476577,17.3863117312,-0.0101677477,0.0899816021,-0.5950479176,0.638772479,-0.0064746162,64.8716344599,91.0347225624,1.4989063729,0.497860017,33.6113306219,-0.2331480188,0.2492051907,29.9945454839,93.763761584,0.466822341,0.4190691389,0.1213675091,0.1479944037,0.96545149,1.1882917316,8.7767763713
